epoch,training_time,lr,train_loss,test_loss,f1_value,val_acc,precision,recall
1_fold|epoch_1_2022-11-28 16:17:32,18.84s,0.00100000,0.2390,0.1700,0.9464,0.9464,0.9464,0.9464
1_fold|epoch_2_2022-11-28 16:17:55,16.75s,0.00100000,0.1278,0.1277,0.9609,0.9609,0.9609,0.9609
1_fold|epoch_3_2022-11-28 16:18:18,16.21s,0.00100000,0.1087,0.0923,0.9721,0.9721,0.9721,0.9721
1_fold|epoch_4_2022-11-28 16:18:41,16.98s,0.00100000,0.0920,0.0914,0.9721,0.9721,0.9721,0.9721
1_fold|epoch_5_2022-11-28 16:19:03,16.15s,0.00100000,0.0906,0.1000,0.9699,0.9699,0.9699,0.9699
1_fold|epoch_6_2022-11-28 16:19:25,16.16s,0.00100000,0.0947,0.1179,0.9587,0.9587,0.9587,0.9587
1_fold|epoch_7_2022-11-28 16:19:49,17.49s,0.00100000,0.0803,0.0845,0.9710,0.9710,0.9710,0.9710
1_fold|epoch_8_2022-11-28 16:20:12,17.39s,0.00100000,0.0715,0.0837,0.9721,0.9721,0.9721,0.9721
1_fold|epoch_9_2022-11-28 16:20:35,16.98s,0.00100000,0.0705,0.0924,0.9743,0.9743,0.9743,0.9743
1_fold|epoch_10_2022-11-28 16:20:59,17.43s,0.00010000,0.0703,0.1524,0.9475,0.9475,0.9475,0.9475
1_fold|epoch_11_2022-11-28 16:21:23,17.34s,0.00010000,0.0471,0.0548,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_12_2022-11-28 16:21:46,17.26s,0.00010000,0.0363,0.0584,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_13_2022-11-28 16:22:08,16.12s,0.00010000,0.0306,0.0545,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_14_2022-11-28 16:22:30,16.30s,0.00010000,0.0267,0.0576,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_15_2022-11-28 16:22:53,16.48s,0.00010000,0.0279,0.0549,0.9855,0.9855,0.9855,0.9855
1_fold|epoch_16_2022-11-28 16:23:15,16.35s,0.00010000,0.0237,0.0522,0.9855,0.9855,0.9855,0.9855
1_fold|epoch_17_2022-11-28 16:23:37,16.10s,0.00010000,0.0207,0.0603,0.9855,0.9855,0.9855,0.9855
1_fold|epoch_18_2022-11-28 16:24:00,16.38s,0.00010000,0.0207,0.0579,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_19_2022-11-28 16:24:23,16.65s,0.00010000,0.0206,0.0660,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_20_2022-11-28 16:24:46,17.55s,0.00010000,0.0173,0.0539,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_21_2022-11-28 16:25:10,18.12s,0.00010000,0.0168,0.0581,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_22_2022-11-28 16:25:33,16.34s,0.00010000,0.0177,0.0598,0.9866,0.9866,0.9866,0.9866
1_fold|epoch_23_2022-11-28 16:25:55,16.38s,0.00010000,0.0191,0.0684,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_24_2022-11-28 16:26:18,16.33s,0.00010000,0.0148,0.0629,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_25_2022-11-28 16:26:40,16.30s,0.00010000,0.0156,0.0808,0.9754,0.9754,0.9754,0.9754
1_fold|epoch_26_2022-11-28 16:27:02,16.30s,0.00010000,0.0139,0.0795,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_27_2022-11-28 16:27:25,16.26s,0.00010000,0.0103,0.0594,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_28_2022-11-28 16:27:47,16.84s,0.00010000,0.0115,0.0650,0.9799,0.9799,0.9799,0.9799
